1;Andersson & Tillman;Smörgåsskinka rökt skivad;07340063019209
2;Chef´s Cut;Vegetti Morot;07340007921384
3;Inproba;Vitlök krossad;08710518728939
4;SALTÅ KVARN;Rågmjöl KRAV;07317731115242
5;TULIP FOODSERVICE;PULLED PORK;05707196158076
6;Johan i Hallen;Kalkonbröst alrökt skivad, naturell;97325910515212
7;Örebro Bagerivaror AB;Kavlingsmarsipan Svart;07391525211518
8;OLDA;Mug Cake stracciatella;07392050123499
9;Nyhléns Hugosons;LÖVBIFF INNANLÅR;02303735100006
10;HÄLSINGESYLT;Pannkakssylt lättsockrad;07392226101924
11;FELDTS;Laxfilé E-trim utan skinn;02328028400007
12;GULDFÅGELN;STEKKORV KYCKLING;97313940095064
13;Salakis;Turkisk Lättoghurt 3,5%;07392672104074
14;Feelia;Tomatsoppa;06430031895568
15;FELDTS;Torsk ryggfilé Feldt´s BLUE, MSC;07392497002203
16;Bröderna Franzén;Ärtor, gröna;07391218981742
17;In med degen;Glutenfri Pizzabotten 30cm fryst;17350075720250
18;President;Getostrulle;03228023180272
19;ROYAL GREENLAND;Sejpanett eko panering MSC förstekt;05740301138488
20;Ridderheims;Basilikasås med parmesan;07392555407513
21;Bärta;Bitar Chili & Lime;07350102800040
22;HERMANS;Harrys BBQ;07394345272103
23;DELICATO;Lattebit 6-p;07315361111849
24;SALTÅ KVARN;Couscous KRAV;07317731583409
25;SALTÅ KVARN;Vita Bönor stora KRAV;07317731586400
26;Flavy AB;Chokladboll med pärlsocker;07350089731047
27;Arla Köket®;Minifraiche 5%;07310865014702
28;Martin & Servera;Jordnötter Jumbo saltade;07321574662504
29;Dafgårds;Tartelett Citronmaräng;07310960739968
30;Nordic Sugar;Mörkbrun Sirap;07310340526430
31;Migi;Plastfilm;07301002402070
32;SIGNAL & ANDERSSON;Sriracha - svensk råvara;02364477300000
33;Rudenstams Bär & Frukt;Äpple Must 75 cl Gravensteiner;07330651750744
34;Chark Food Delikatesser;Chilli marinerad skivad rostbiff;02380692400004
35;SallaCarte;Babyspenat EKO;07312730070684
36;KåKå;Mördegsformar SG;07315060597104
37;L'Or;Espresso 11 Ristretto;08711000891643
